Sequences compared,Sat_test_Cassius_1,Sat_test_Cassius_2,Chi_test,Bowker_test,Stuart_test,Internal_Symmetry,Proposed_test,Alignment_Length
(M._australis_I; C._fasciata_II),2.61746,2.50996,14071.1,4.50018,1.1566,3.34358,-0.578055,6649
(M._australis_I; C._fasciata_IV),2.62043,2.51326,14087.2,5.37743,2.64178,2.73565,-0.554727,6640
(M._australis_I; C._fasciata_I),2.60994,2.50712,14047.6,5.32486,2.73613,2.58872,-0.360159,6650
(M._australis_I; C._fasciata_III),2.61436,2.50784,14050.8,5.30484,2.67162,2.63322,0.0115625,6650
(M._australis_I; C._pricei),2.61207,2.50747,14050.6,6.4841,2.91979,3.56431,-0.014165,6650
(M._australis_I; C._sentaniensis),2.61479,2.50489,14021.3,5.29524,2.41414,2.88111,0.193693,6650
(M._australis_I; C._sp._Sepik),2.6267,2.51962,14167.1,6.54832,3.30855,3.23977,-0.185381,6643
(M._australis_I; C._sp._Gidomen),2.59309,2.48524,13811.8,2.15526,1.79043,0.364822,-0.221828,6654
(M._australis_I; M._praecox),2.55197,2.44575,13389.3,12.9677,9.1471,3.82061,0.139313,6650
(M._australis_I; M._vanheurni_MT),2.1032,2.09058,10195.5,520.109,515.407,4.70187,1.06221,6672
(M._australis_I; M._vanheurni_S7),0.255227,0.196439,2190.83,4265.5,4261.78,3.71871,0.582877,6653
(M._australis_I; G._dorityi),2.58687,2.48157,13781.1,6.12508,2.7832,3.34188,-1.20196,6649
(M._australis_I; G._sp._Gidomen_S7),0.258153,0.199199,2202.91,4266.07,4261.6,4.46897,0.741354,6649
(M._australis_I; G._incisus),2.5959,2.48811,13850.9,6.43472,2.33595,4.09878,-1.58455,6649
(M._australis_I; G._kabia_I),2.58245,2.47783,13734.1,8.28673,4.28194,4.00479,-1.0361,6649
(M._australis_I; G._kabia_II),2.59437,2.48623,13794,6.6238,1.63904,4.98476,-1.45477,6629
(M._australis_I; G._leggetti),2.58342,2.47892,13751,7.15512,4.12721,3.02791,-1.526,6649
(M._australis_I; G._multisquamata),2.58017,2.47592,13720.1,7.83209,3.98756,3.84453,-1.69536,6649
(M._australis_I; G._pseudoincisus),2.5939,2.48624,13827.9,6.42486,2.34203,4.08284,-1.46415,6647
(M._australis_I; G._wanamensis_AS),2.5921,2.48477,13775.9,7.34812,1.50309,5.84503,-1.18553,6629
